#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 02 06 05 00 154  4.5  5.3 99.00 99.00 99.00 999 1018.1  17.8  17.5  17.4 99.0 99.00
2017 02 06 05 30 155  4.7  5.5 99.00 99.00 99.00 999 1017.8  17.7  17.5  17.3 99.0 99.00
2017 02 06 06 00 156  4.9  5.7 99.00 99.00 99.00 999 1017.4  17.8  17.5  17.4 99.0 99.00
2017 02 06 06 30 155  4.3  5.0 99.00 99.00 99.00 999 1017.1  17.8  17.5  17.4 99.0 99.00
2017 02 06 07 00 154  4.6  5.2 99.00 99.00 99.00 999 1016.7  17.7  17.5  17.4 99.0 99.00
2017 02 06 07 30 154  4.5  5.3 99.00 99.00 99.00 999 1016.3  17.6  17.5  17.3 99.0 99.00
2017 02 06 08 00 154  4.5  5.2 99.00 99.00 99.00 999 1015.9  17.7  17.6  17.4 99.0 99.00
2017 02 06 08 30 152  4.0  4.7 99.00 99.00 99.00 999 1016.0  17.6  17.6  17.3 99.0 99.00
2017 02 06 09 00 152  3.7  4.2 99.00 99.00 99.00 999 1016.0  17.5  17.6  17.2 99.0 99.00
2017 02 06 09 30 155  4.1  4.7 99.00 99.00 99.00 999 1016.2  17.6  17.6  17.3 99.0 99.00
2017 02 06 10 00 155  4.4  5.3 99.00 99.00 99.00 999 1016.1  17.5  17.6  17.2 99.0 99.00
2017 02 06 10 30 152  4.0  4.8 99.00 99.00 99.00 999 1016.2  17.6  17.5  17.3 99.0 99.00
2017 02 06 11 00 159  4.1  4.7 99.00 99.00 99.00 999 1016.2  17.6  17.5  17.3 99.0 99.00
2017 02 06 11 30 167  3.4  3.9 99.00 99.00 99.00 999 1016.5  17.6  17.5  17.3 99.0 99.00
2017 02 06 12 00 161  3.8  4.4 99.00 99.00 99.00 999 1016.9  17.4  17.5  17.1 99.0 99.00
2017 02 06 12 30 153  3.2  3.6 99.00 99.00 99.00 999 1017.2  17.5  17.5  17.2 99.0 99.00
2017 02 06 13 00 145  2.5  3.0 99.00 99.00 99.00 999 1017.6  17.3  17.5  17.0 99.0 99.00
2017 02 06 13 30 149  3.3  3.8 99.00 99.00 99.00 999 1017.5  17.3  17.5  17.0 99.0 99.00
2017 02 06 14 00 142  2.7  3.1 99.00 99.00 99.00 999 1017.7  17.4  17.4  17.0 99.0 99.00
2017 02 06 14 30 140  2.5  2.9 99.00 99.00 99.00 999 1018.0  17.8  17.4  17.2 99.0 99.00
2017 02 06 15 00 140  2.8  3.2 99.00 99.00 99.00 999 1018.2  17.5  17.4  17.0 99.0 99.00
2017 02 06 15 30 145  3.0  3.5 99.00 99.00 99.00 999 1018.6  17.7  17.4  17.2 99.0 99.00
2017 02 06 16 00 143  3.3  4.0 99.00 99.00 99.00 999 1018.4  17.9  17.5  17.2 99.0 99.00
2017 02 06 16 30 148  4.1  4.8 99.00 99.00 99.00 999 1018.3  18.3  17.5  17.5 99.0 99.00
2017 02 06 17 00 151  4.4  5.0 99.00 99.00 99.00 999 1018.0  18.4  17.6  17.6 99.0 99.00
2017 02 06 17 30 153  4.3  5.1 99.00 99.00 99.00 999 1017.7  18.4  17.6  17.6 99.0 99.00
2017 02 06 18 00 154  4.8  5.7 99.00 99.00 99.00 999 1017.0  18.5  17.7  17.7 99.0 99.00
2017 02 06 18 30 156  5.0  5.8 99.00 99.00 99.00 999 1016.5  18.6  17.7  17.8 99.0 99.00
2017 02 06 19 00 158  5.4  6.3 99.00 99.00 99.00 999 1015.7  18.6  17.7  17.7 99.0 99.00
2017 02 06 19 30 154  5.4  6.5 99.00 99.00 99.00 999 1015.1  18.7  17.8  17.8 99.0 99.00
2017 02 06 20 00 156  5.2  6.0 99.00 99.00 99.00 999 1014.7  18.8  17.8  17.9 99.0 99.00
2017 02 06 20 30 157  5.3  6.3 99.00 99.00 99.00 999 1014.3  18.9  17.8  18.0 99.0 99.00
2017 02 06 21 00 156  5.8  6.8 99.00 99.00 99.00 999 1013.7  19.0  17.9  18.1 99.0 99.00
2017 02 06 21 30 156  5.1  5.9 99.00 99.00 99.00 999 1013.7  18.9  17.9  18.1 99.0 99.00
2017 02 06 22 00 152  5.0  5.8 99.00 99.00 99.00 999 1013.6  18.8  17.9  17.9 99.0 99.00
2017 02 06 22 30 155  5.2  6.1 99.00 99.00 99.00 999 1013.5  18.5  17.9  17.9 99.0 99.00
2017 02 06 23 00 152  5.1  5.8 99.00 99.00 99.00 999 1013.3  18.5  17.9  17.9 99.0 99.00
2017 02 06 23 30 147  5.5  6.5 99.00 99.00 99.00 999 1012.6  18.3  17.9  17.9 99.0 99.00
2017 02 07 00 30 150  5.7  6.6 99.00 99.00 99.00 999 1012.9  18.2  17.9  17.9 99.0 99.00
2017 02 07 01 00 172  3.3  3.9 99.00 99.00 99.00 999 1014.1  18.2  17.9  17.9 99.0 99.00
2017 02 07 01 30 146  5.0  5.6 99.00 99.00 99.00 999 1013.1  17.9  17.9  17.7 99.0 99.00
2017 02 07 02 00 148  5.4  6.7 99.00 99.00 99.00 999 1012.8  18.0  17.9  17.8 99.0 99.00
2017 02 07 02 30 160  4.8  5.6 99.00 99.00 99.00 999 1013.4  18.1  17.9  17.8 99.0 99.00
2017 02 07 03 00 163  4.1  5.1 99.00 99.00 99.00 999 1013.4  18.0  17.9  17.7 99.0 99.00
